Number,Mode,StartDate,EndDate,DurationInSeconds,DepthInMetersMax,DepthInMetersAvg,Buddy,Location,Site,Note,TemperatureInCelsiusMax,TemperatureInCelsiusMin,TemperatureInCelsiusAvg,Salinity,SurfaceIntervalInSeconds,SurfacePressureInMillibarPreDive,SurfacePressureInMillibarPostDive,DecoModel,GradientFactorLow,GradientFactorHigh,GradientFactor99Max,CNSPercentPreDive,CNSPercentPostDive,ComputerModel,ComputerSerialNumber,ComputerFirmwareVersion,BatteryType,BatteryVoltagePreDive,BatteryVoltagePostDive,SampleRateInMs,DataFormat,LogVersion,DatabaseVersion,O2SensorStatusPreDive,O2SensorStatusPostDive,SensorDisplay,PPO2SetpointLowPreDive,PPO2SetpointLowPostDive,PPO2SetpointHighPreDive,PPO2SetpointHighPostDive,Features
258,Free Dive,2025-12-16 18:34:37,2025-12-16 18:35:06,29,1.10000002384186,0.507509768009186,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
259,Free Dive,2025-12-16 18:38:05,2025-12-16 18:38:57,52,11,5.92451524734497,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
260,Free Dive,2025-12-16 18:44:05,2025-12-16 18:44:59,54,11.3000001907349,4.89004421234131,Yiqu,Beijing,HiDive,,29,29,29,Fresh,360,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
261,Free Dive,2025-12-16 18:47:11,2025-12-16 18:48:19,68,11.4000005722046,6.10981130599976,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
262,Free Dive,2025-12-16 18:50:35,2025-12-16 18:51:40,65,11.6000003814697,7.22479009628296,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
263,Free Dive,2025-12-16 18:53:03,2025-12-16 18:53:16,13,2.10000014305115,0.913418769836426,Yiqu,Beijing,HiDive,,29,29,29,Fresh,120,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
264,Free Dive,2025-12-16 18:54:56,2025-12-16 18:55:31,35,5.59999990463257,2.89166235923767,Yiqu,Beijing,HiDive,,29,29,29,Fresh,120,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
265,Free Dive,2025-12-16 18:57:49,2025-12-16 18:58:50,61,11,7.13760662078857,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
266,Free Dive,2025-12-16 19:02:12,2025-12-16 19:02:56,44,10.6999998092651,6.12276887893677,Yiqu,Beijing,HiDive,,29,29,29,Fresh,240,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
267,Free Dive,2025-12-16 19:04:32,2025-12-16 19:05:16,44,11.9000005722046,4.49209785461426,Yiqu,Beijing,HiDive,,29,29,29,Fresh,120,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
268,Free Dive,2025-12-16 19:08:58,2025-12-16 19:09:25,27,2.90000009536743,1.62159955501556,Yiqu,Beijing,HiDive,,29,29,29,Fresh,240,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
269,Free Dive,2025-12-16 19:09:57,2025-12-16 19:10:17,20,3.60000014305115,1.48284995555878,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
270,Free Dive,2025-12-16 19:10:45,2025-12-16 19:11:08,23,1.39999997615814,1.04921591281891,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
271,Free Dive,2025-12-16 19:11:53,2025-12-16 19:12:20,27,2,1.43898451328278,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
272,Free Dive,2025-12-16 19:13:49,2025-12-16 19:14:28,39,10.3000001907349,5.00368165969849,Yiqu,Beijing,HiDive,,29,29,29,Fresh,120,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
273,Free Dive,2025-12-16 19:16:12,2025-12-16 19:17:00,48,2.20000004768372,1.65735685825348,Yiqu,Beijing,HiDive,,29,29,29,Fresh,120,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
274,Free Dive,2025-12-16 19:18:00,2025-12-16 19:18:55,55,11.9000005722046,5.77222299575806,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
275,Free Dive,2025-12-16 19:19:37,2025-12-16 19:20:18,41,2.10000014305115,1.56184530258179,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
276,Free Dive,2025-12-16 19:22:10,2025-12-16 19:22:46,36,6.70000028610229,3.6142795085907,Yiqu,Beijing,HiDive,,29,29,29,Fresh,120,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
277,Free Dive,2025-12-16 19:25:33,2025-12-16 19:26:36,63,11.6999998092651,6.37462425231934,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
278,Free Dive,2025-12-16 19:27:35,2025-12-16 19:28:20,45,2,1.5607100725174,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
279,Free Dive,2025-12-16 19:28:45,2025-12-16 19:29:50,65,9.5,4.53484678268433,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
280,Free Dive,2025-12-16 19:35:57,2025-12-16 19:37:09,72,11.8000001907349,6.94859504699707,Yiqu,Beijing,HiDive,,29,29,29,Fresh,420,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
281,Free Dive,2025-12-16 19:38:35,2025-12-16 19:39:02,27,2.5,1.15718221664429,Yiqu,Beijing,HiDive,,29,29,29,Fresh,120,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
282,Free Dive,2025-12-16 19:39:53,2025-12-16 19:40:11,18,1.89999997615814,0.954675197601318,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
283,Free Dive,2025-12-16 19:40:58,2025-12-16 19:41:43,45,7.20000028610229,3.74982261657715,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
284,Free Dive,2025-12-16 19:43:45,2025-12-16 19:44:30,45,11.1000003814697,5.01682472229004,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
285,Free Dive,2025-12-16 19:49:16,2025-12-16 19:49:57,41,10.5,5.1795392036438,Yiqu,Beijing,HiDive,,29,29,29,Fresh,300,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
286,Free Dive,2025-12-16 19:52:33,2025-12-16 19:53:24,51,11.4000005722046,4.68927478790283,Yiqu,Beijing,HiDive,,29,29,29,Fresh,180,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
287,Free Dive,2025-12-16 19:54:24,2025-12-16 19:55:00,36,1.30000007152557,0.445502489805222,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
288,Free Dive,2025-12-16 19:55:16,2025-12-16 19:55:59,43,6.59999990463257,2.39062881469727,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
289,Free Dive,2025-12-16 19:57:30,2025-12-16 19:58:09,39,11.4000005722046,5.20172643661499,Yiqu,Beijing,HiDive,,29,29,29,Fresh,120,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
290,Free Dive,2025-12-16 19:58:51,2025-12-16 19:59:28,37,11.8000001907349,6.02203941345215,Yiqu,Beijing,HiDive,,29,29,29,Fresh,60,1043,1043,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
291,Free Dive,2025-12-21 15:18:54,2025-12-21 15:19:03,9,0.900000035762787,0.527513742446899,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,415200,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
292,Free Dive,2025-12-21 15:25:46,2025-12-21 15:26:01,15,1,0.560823917388916,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,420,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
293,Free Dive,2025-12-21 15:38:47,2025-12-21 15:38:59,12,0.800000011920929,0.488879948854446,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,780,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
294,Free Dive,2025-12-21 15:45:22,2025-12-21 15:45:35,13,1.10000002384186,0.647227823734283,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,420,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
295,Free Dive,2025-12-21 15:54:44,2025-12-21 15:55:32,48,1.10000002384186,0.742478013038635,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,600,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
296,Free Dive,2025-12-21 16:04:20,2025-12-21 16:04:31,11,1.10000002384186,0.560223937034607,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,540,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
297,Free Dive,2025-12-21 16:14:11,2025-12-21 16:14:25,14,1,0.651065289974213,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,600,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
298,Free Dive,2025-12-21 16:15:22,2025-12-21 16:15:39,17,0.900000035762787,0.627767741680145,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
299,Free Dive,2025-12-21 16:17:42,2025-12-21 16:17:59,17,0.900000035762787,0.649491965770721,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,180,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
300,Free Dive,2025-12-21 16:18:45,2025-12-21 16:18:58,13,0.900000035762787,0.612880825996399,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
301,Free Dive,2025-12-21 16:19:39,2025-12-21 16:19:56,17,1,0.61712783575058,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
302,Free Dive,2025-12-21 16:22:28,2025-12-21 16:22:46,18,1,0.627953231334686,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,180,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
303,Free Dive,2025-12-21 16:23:17,2025-12-21 16:23:34,17,0.900000035762787,0.596291124820709,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
304,Free Dive,2025-12-21 16:24:08,2025-12-21 16:24:25,17,0.900000035762787,0.641067683696747,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
305,Free Dive,2025-12-21 16:24:56,2025-12-21 16:25:15,19,1,0.602019369602203,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
306,Free Dive,2025-12-21 16:25:39,2025-12-21 16:25:57,18,1,0.639849066734314,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
307,Free Dive,2025-12-21 16:26:19,2025-12-21 16:26:39,20,1,0.611807882785797,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
308,Free Dive,2025-12-21 16:27:02,2025-12-21 16:27:20,18,1,0.641548156738281,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
309,Free Dive,2025-12-21 16:27:45,2025-12-21 16:28:03,18,1,0.642822742462158,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
310,Free Dive,2025-12-21 16:28:23,2025-12-21 16:28:39,16,0.900000035762787,0.599293410778046,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
311,Free Dive,2025-12-21 16:29:01,2025-12-21 16:29:16,15,1,0.666676640510559,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
312,Free Dive,2025-12-21 16:29:44,2025-12-21 16:29:54,10,0.900000035762787,0.600336492061615,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
313,Free Dive,2025-12-21 16:30:17,2025-12-21 16:30:33,16,0.900000035762787,0.510767221450806,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
314,Free Dive,2025-12-21 16:46:37,2025-12-21 16:47:34,57,11.8000001907349,5.96658325195313,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,1020,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
315,Free Dive,2025-12-21 16:48:55,2025-12-21 16:49:32,37,11.8000001907349,5.40121984481812,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,120,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
316,Free Dive,2025-12-21 16:51:04,2025-12-21 16:51:39,35,2.29999995231628,1.02017772197723,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,120,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.20000028610229,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
317,Free Dive,2025-12-21 16:51:55,2025-12-21 16:52:04,9,1,0.607049286365509,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.30000019073486,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
318,Free Dive,2025-12-21 16:52:28,2025-12-21 16:53:00,32,1.10000002384186,0.745439231395721,Yiqu,Beijing,HiDive,AIDA3,30,30,30,Fresh,60,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4.20000028610229,4.30000019073486,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
319,Free Dive,2025-12-25 18:02:26,2025-12-25 18:02:35,9,0.900000035762787,0.549947500228882,Yiqu,Beijing,HiDive,,30,30,30,Fresh,114180,1035,1035,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
320,Free Dive,2025-12-25 18:03:43,2025-12-25 18:04:02,19,0.900000035762787,0.498419523239136,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1035,1035,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
321,Free Dive,2025-12-25 18:08:45,2025-12-25 18:09:17,32,10.1999998092651,5.12389087677002,Yiqu,Beijing,HiDive,,30,30,30,Fresh,300,1035,1035,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
322,Free Dive,2025-12-25 18:10:37,2025-12-25 18:10:49,12,1.5,0.761926829814911,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1036,1036,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
323,Free Dive,2025-12-25 18:13:08,2025-12-25 18:13:59,51,11.9000005722046,6.40734577178955,Yiqu,Beijing,HiDive,,30,30,30,Fresh,180,1042,1042,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
324,Free Dive,2025-12-25 18:16:28,2025-12-25 18:17:40,72,11.6000003814697,7.26534938812256,Yiqu,Beijing,HiDive,,30,30,30,Fresh,180,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
325,Free Dive,2025-12-25 18:20:11,2025-12-25 18:21:35,84,11.9000005722046,8.60530471801758,Yiqu,Beijing,HiDive,,30,30,30,Fresh,180,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
326,Free Dive,2025-12-25 18:29:00,2025-12-25 18:30:01,61,11.9000005722046,5.72694826126099,Yiqu,Beijing,HiDive,,30,30,30,Fresh,480,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
327,Free Dive,2025-12-25 18:33:54,2025-12-25 18:35:02,68,11.8000001907349,7.70450735092163,Yiqu,Beijing,HiDive,,30,30,30,Fresh,240,1046,1046,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
328,Free Dive,2025-12-25 18:36:38,2025-12-25 18:37:05,27,5.20000028610229,2.23742413520813,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1046,1046,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
329,Free Dive,2025-12-25 18:38:51,2025-12-25 18:39:13,22,0.800000011920929,0.434456795454025,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1046,1046,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
330,Free Dive,2025-12-25 18:40:02,2025-12-25 18:41:05,63,11.6999998092651,7.29277944564819,Yiqu,Beijing,HiDive,,30,30,30,Fresh,60,1046,1046,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
331,Free Dive,2025-12-25 18:44:49,2025-12-25 18:45:03,14,2.10000014305115,0.791781604290009,Yiqu,Beijing,HiDive,,30,30,30,Fresh,240,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
332,Free Dive,2025-12-25 18:45:41,2025-12-25 18:46:23,42,9.80000019073486,4.61128902435303,Yiqu,Beijing,HiDive,,30,30,30,Fresh,60,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
333,Free Dive,2025-12-25 18:48:18,2025-12-25 18:49:04,46,10.6000003814697,5.25331163406372,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
334,Free Dive,2025-12-25 18:50:50,2025-12-25 18:51:31,41,7.70000028610229,4.49071359634399,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
335,Free Dive,2025-12-25 18:53:01,2025-12-25 18:53:49,48,11.1000003814697,5.32933807373047,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
336,Free Dive,2025-12-25 18:55:10,2025-12-25 18:55:49,39,6.30000019073486,3.0449903011322,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
337,Free Dive,2025-12-25 19:01:20,2025-12-25 19:02:47,87,11.6999998092651,8.42069149017334,Yiqu,Beijing,HiDive,,30,30,30,Fresh,360,1045,1045,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
338,Free Dive,2025-12-25 19:04:56,2025-12-25 19:05:45,49,11.5,6.75213384628296,Yiqu,Beijing,HiDive,,30,30,30,Fresh,180,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
339,Free Dive,2025-12-25 19:07:37,2025-12-25 19:07:51,14,2,0.965127170085907,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
340,Free Dive,2025-12-25 19:09:29,2025-12-25 19:10:07,38,5,2.4226667881012,Yiqu,Beijing,HiDive,,30,30,30,Fresh,120,1044,1044,GF,50,70,0,0,0,Teric,E096404C,36,Li-Ion,4,4,1000,sw-pnf,17,12,False,False,0,0,0,1,0,0
